x,y,z
-5.932791251643578789e-01,0.000000000000000000e+00,-1.854101953562927174e-01
8.899186847208131468e-01,3.090169912098301164e-01,-4.499999954100000754e-01
7.959674659192930157e-01,0.000000000000000000e+00,1.053738338463186652e+00
0.000000000000000000e+00,-2.763932006688865628e-01,-1.537383530199255277e-01
0.000000000000000000e+00,2.618033852011288243e+00,1.456230513934768878e+00
5.499999945000001444e-01,8.090169862098300912e-01,2.781152921788471177e-01
1.779837351863252870e+00,0.000000000000000000e+00,-5.562305786153883824e-01
6.798373740832525103e-01,-1.618033956439320686e+00,0.000000000000000000e+00
0.000000000000000000e+00,-2.060113281207260061e-01,-4.854101932286534749e-01
0.000000000000000000e+00,-2.618033850640467897e+00,1.456230512701030655e+00
0.000000000000000000e+00,-2.763932006936079544e-01,-1.537383530526794106e-01
0.000000000000000000e+00,1.170820376239650074e+00,6.512461085736707123e-01
5.932791251643578789e-01,0.000000000000000000e+00,1.854101953562927174e-01
0.000000000000000000e+00,6.180339762393204373e-01,1.456230560615388692e+00
6.798373824394301490e-01,-3.819660083248342386e-01,0.000000000000000000e+00
1.779837351287285152e+00,0.000000000000000000e+00,5.562305785041422590e-01
3.399186902208131689e-01,-4.999999948000000694e-01,7.281152873188472263e-01
1.779837293877227111e+00,0.000000000000000000e+00,2.356230465576421018e+00
0.000000000000000000e+00,2.763932007336079577e-01,-1.537383530939317455e-01
0.000000000000000000e+00,-2.763932007336079577e-01,-1.537383530939317455e-01
-3.399186903308131780e-01,4.999999949000000776e-01,7.281152874988471302e-01
-1.779837351287285152e+00,0.000000000000000000e+00,5.562305785041422590e-01
0.000000000000000000e+00,-2.618033845480794763e+00,-1.456230509942308737e+00
0.000000000000000000e+00,-1.170820376070207391e+00,6.512461084794215482e-01
3.399186902208131689e-01,4.999999948000000694e-01,7.281152873188472263e-01
0.000000000000000000e+00,6.180339764393204538e-01,1.456230560795388707e+00
-2.879837233620644810e+00,1.618033902153931392e+00,0.000000000000000000e+00
-1.779837350491318082e+00,0.000000000000000000e+00,-5.562305782128961207e-01
5.499999945000001444e-01,-8.090169862098300912e-01,2.781152921788471177e-01
-1.287902414022808584e+00,-7.236067873040785692e-01,0.000000000000000000e+00
5.932791250572431174e-01,0.000000000000000000e+00,-1.854101953086534083e-01
8.899186848308131559e-01,3.090169913098301246e-01,-4.499999955000000829e-01
-1.287902413013260805e+00,-7.236067868051930807e-01,0.000000000000000000e+00
-7.959674659192930157e-01,0.000000000000000000e+00,1.053738338463186652e+00
0.000000000000000000e+00,-2.618033850640467897e+00,-1.456230512701030655e+00
-1.287902413677228131e+00,7.236067871993572265e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.618033845480794763e+00,1.456230509942308737e+00
4.201626090534477664e-01,0.000000000000000000e+00,5.562305854422300300e-01
-5.499999945000001444e-01,8.090169862098300912e-01,-2.781152920888471103e-01
6.798373740832525103e-01,-1.618033956239320670e+00,0.000000000000000000e+00
1.779837351863252870e+00,0.000000000000000000e+00,-5.562305787953883973e-01
-5.932791250572431174e-01,0.000000000000000000e+00,-1.854101953086534083e-01
1.879024315592499328e-01,0.000000000000000000e+00,-2.487538806602471730e-01
0.000000000000000000e+00,2.763932006936079544e-01,-1.537383530526794106e-01
0.000000000000000000e+00,6.180339757921068378e-01,-1.456230559492896592e+00
-6.798373824073326022e-01,-3.819660083540138418e-01,0.000000000000000000e+00
6.798373737272850326e-01,-1.618033955715713734e+00,0.000000000000000000e+00
-2.879837235704514775e+00,1.618033903524751738e+00,0.000000000000000000e+00
5.499999945000001444e-01,-8.090169862098300912e-01,-2.781152920888471103e-01
0.000000000000000000e+00,2.618033850640467897e+00,-1.456230512701030655e+00
-2.266124609759169461e-01,5.393446592710355869e-01,0.000000000000000000e+00
3.399186903308131780e-01,4.999999949000000776e-01,-7.281152874988471302e-01
5.932791252714725294e-01,0.000000000000000000e+00,-1.854101954039320543e-01
-1.779837293877227111e+00,0.000000000000000000e+00,2.356230465576421018e+00
1.879024314687978703e-01,0.000000000000000000e+00,2.487538806019979065e-01
8.899186848308131559e-01,3.090169912098301164e-01,-4.499999955000000829e-01
3.399186903308131780e-01,-4.999999949000000776e-01,7.281152874988471302e-01
0.000000000000000000e+00,6.180339757921068378e-01,1.456230559492896592e+00
-5.932791250572431174e-01,0.000000000000000000e+00,1.854101953086534083e-01
2.879837230028874373e+00,-1.618033899935898523e+00,0.000000000000000000e+00
-8.899186845008133506e-01,-3.090169911098301081e-01,-4.499999953200000680e-01
-1.879024314687978703e-01,0.000000000000000000e+00,2.487538806019979065e-01
0.000000000000000000e+00,-6.180339840066659818e-01,3.437694075186124576e-01
8.899186849408131650e-01,3.090169913098301246e-01,-4.499999955000000829e-01
0.000000000000000000e+00,-1.170820376239650074e+00,-6.512461085736707123e-01
-6.798373733713175548e-01,-1.618033954992107226e+00,0.000000000000000000e+00
-6.798373822071700490e-01,3.819660082304070503e-01,0.000000000000000000e+00
-6.798373822071700490e-01,-3.819660082304070503e-01,0.000000000000000000e+00
1.879024315488629637e-01,0.000000000000000000e+00,-2.487538806464964225e-01
0.000000000000000000e+00,-6.180339762393204373e-01,1.456230560615388692e+00
0.000000000000000000e+00,2.060113282265911561e-01,-4.854101934039320443e-01
-1.779837351863252870e+00,0.000000000000000000e+00,-5.562305787953883973e-01
6.798373738632524921e-01,-1.618033956239320670e+00,0.000000000000000000e+00
-3.399186903308131780e-01,4.999999949000000776e-01,-7.281152874988471302e-01
0.000000000000000000e+00,2.763932007183293460e-01,1.537383530854333213e-01
1.287902413518034805e+00,7.236067870546358805e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.170820376239650074e+00,6.512461085736707123e-01
5.499999945000001444e-01,-8.090169863098300995e-01,2.781152921788471177e-01
0.000000000000000000e+00,6.180339840066659818e-01,3.437694075186124576e-01
2.879837237212417467e+00,1.618033904371965370e+00,0.000000000000000000e+00
3.399186904408131871e-01,-4.999999950000000859e-01,7.281152876788471451e-01
0.000000000000000000e+00,6.180339764393204538e-01,1.456230560615388692e+00
3.399186902208131689e-01,4.999999948000000694e-01,-7.281152873188472263e-01
-3.399186903308131780e-01,-4.999999950000000859e-01,7.281152875888471376e-01
-1.779837293877227111e+00,0.000000000000000000e+00,-2.356230465576421018e+00
-3.399186903308131780e-01,-4.999999949000000776e-01,7.281152874988471302e-01
6.798373740832525103e-01,1.618033956439320686e+00,0.000000000000000000e+00
-2.879837233620644810e+00,-1.618033902153931392e+00,0.000000000000000000e+00
5.499999943900001353e-01,-8.090169861098300830e-01,-2.781152920888471103e-01
-3.040325208069687979e-01,1.708203923265908253e-01,0.000000000000000000e+00
5.932791251981391900e-01,0.000000000000000000e+00,1.854101954039320543e-01
3.399186903308131780e-01,4.999999950000000859e-01,-7.281152875888471376e-01
0.000000000000000000e+00,-2.763932006936079544e-01,1.537383530526794106e-01
1.287902413677228131e+00,7.236067871993572265e-01,0.000000000000000000e+00
-6.798373740832525103e-01,-1.618033956439320686e+00,0.000000000000000000e+00
1.287902414022808584e+00,7.236067873040785692e-01,0.000000000000000000e+00
-5.932791251981391900e-01,0.000000000000000000e+00,-1.854101954039320543e-01
0.000000000000000000e+00,-6.180339839594523044e-01,3.437694074923507981e-01
-2.879837235704514775e+00,-1.618033903001145024e+00,0.000000000000000000e+00
-5.499999943900001353e-01,8.090169861098300830e-01,-2.781152920888471103e-01
0.000000000000000000e+00,2.618033850640467897e+00,-1.456230513172276586e+00
1.879024315488629637e-01,0.000000000000000000e+00,2.487538806464964225e-01
8.899186847208131468e-01,-3.090169912098301164e-01,4.499999954100000754e-01
-4.201626091053827783e-01,0.000000000000000000e+00,5.562305855372454699e-01
